pi,ro,collab,institute,scope,collabing_pi
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Charles  Kellner,Icahn School of Medicine at Mount Sinai,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Andrew  Krystal,"University of California, San Francisco",EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Conor  Liston,Weill Cornell Medicine,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Sergey  Makarov,Worcester Polytechnic Institute,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Shawn  McClintock,Southwestern Medical Center,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Katherine  Narr,"University of California, Los Angeles",EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Andrada  Neacsiu,Duke University Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Desmond  Oathes,University of Pennsylvania Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Leif  Oltedal,University of Bergen,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Angel  Peterchev,Duke University Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Jennifer  Rodger,University of Western Australia,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,G  Sapiro,Duke University Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Yvette  Sheline,University of Pennsylvania Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Timothy  Strauman,Duke University Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Akihiro  Takamiya,Keio University School of Medicine,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Jeroen   van Waarde,Rijnstate Hospital,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Aristotle  Voineskos,University of Toronto,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Fan  Yong,University of Pennsylvania Health System,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Xiaochu  Zhang,University of Science and Technology of China,EM,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Sarah Elizabeth Aronson,NIDA,NIH,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Leonardo G Cohen, MD",NINDS,NIH,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Mark  Hallett, MD",NINDS,NIH,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Betty Jo  Salmeron, MD",NIDA,NIH,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Elliot Alan Stein, PhD",NIDA,NIH,
"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Eric M Wassermann, MD",NINDS,NIH,
